name,make,model,city,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,storename,isc24assured,registrationcity,registrationstate,benefits,discountprice,price,url,createdDate
Volkswagen Polo,Volkswagen,Polo,New Delhi,2015,Petrol,39526,1,Manual,Hatchback,Hi-Uttam Nagar Delhi,False,Delhi,Delhi,9688,-21600,524199,https://www.cars24.com/buy-used-volkswagen-polo-2015-cars-new-delhi-10092599721,2022-11-12
Mahindra Kuv100,Mahindra,Kuv100,New Delhi,2017,Petrol,51036,1,Manual,SUV,Hi-Dakshin Delhi,False,Delhi,Delhi,9688,-9300,353999,https://www.cars24.com/buy-used-mahindra-kuv100-2017-cars-new-delhi-10059076719,2022-11-22
Hyundai Elite i20,Hyundai,Elite I20,Ahmedabad,2018,Petrol + Cng,51772,1,Manual,Hatchback,Hi-West-Amd,False,Ahmedabad,Gujarat,9688,0,575299,https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-ahmedabad-11434673770,2022-11-23
Renault Kwid,Renault,Kwid,New Delhi,2020,Petrol,24991,1,Manual,Hatchback,Dwarka Sector 6,False,New Delhi,Delhi,12542,0,346999,https://www.cars24.com/buy-used-renault-kwid-2020-cars-new-delhi-10018375751,2022-11-25
Renault Kwid,Renault,Kwid,New Delhi,2015,Petrol,48700,2,Manual,Hatchback,New Delhi-Pns,False,Delhi,Delhi,12542,0,217699,https://www.cars24.com/buy-used-renault-kwid-2015-cars-new-delhi-10078174798,2022-11-24
Tata NEXON,Tata,Nexon,Mumbai,2019,Diesel,16576,2,Manual,SUV,Hi-Worli,False,Mumbai East,Maharashtra,13898,0,879499,https://www.cars24.com/buy-used-tata-nexon-2019-cars-mumbai-10345278715,2022-11-24
Hyundai Eon,Hyundai,Eon,New Delhi,2014,Petrol,77286,1,Manual,Hatchback,New Delhi-Pns,False,Ghaziabad,Uttar Pradesh,12542,0,229499,https://www.cars24.com/buy-used-hyundai-eon-2014-cars-new-delhi-10088279716,2022-11-24
Hyundai Creta,Hyundai,Creta,Hyderabad,2021,Diesel,18959,1,Manual,SUV,Hyderabad-Pns,False,Hyderabad,Telangana,13898,45900,1689499,https://www.cars24.com/buy-used-hyundai-creta-2021-cars-hyderabad-10466475794,2022-10-29
Hyundai i10,Hyundai,I10,Jaipur,2014,Petrol,32716,2,Manual,Hatchback,Jaipur-Pns,False,Jaipur,Rajasthan,13898,4300,313699,https://www.cars24.com/buy-used-hyundai-i10-2014-cars-jaipur-10770572779,2022-11-08
Renault Kwid,Renault,Kwid,Pune,2017,Petrol,37868,1,Manual,Hatchback,Hi-Pune,False,Pune,Maharashtra,9688,0,347799,https://www.cars24.com/buy-used-renault-kwid-2017-cars-pune-10670376777,2022-11-24
Maruti New  Wagon-R,Maruti,New  Wagon-R,Gurgaon,2020,Petrol + Cng,66868,2,Manual,Hatchback,Hi-Gurgaon New,False,New Delhi,Delhi,9688,0,568599,https://www.cars24.com/buy-used-maruti-new-wagon-r-2020-cars-gurgaon-10124077711,2022-11-24
Honda Jazz,Honda,Jazz,Surat,2016,Petrol,35030,1,Automatic,Hatchback,Surat-Pns,False,Surat,Gujarat,13898,-12300,591799,https://www.cars24.com/buy-used-honda-jazz-2016-cars-surat-13542272771,2022-11-22
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,Mumbai,2016,Petrol + Cng,80696,2,Manual,Hatchback,Mumbai-Pns,False,Mumbai,Maharashtra,12542,0,371299,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2016-cars-mumbai-10307675771,2022-11-24
Maruti Swift,Maruti,Swift,Noida,2014,Petrol,78823,2,Manual,Hatchback,Hi-Noida Outer,False,Delhi,Delhi,13898,0,369599,https://www.cars24.com/buy-used-maruti-swift-2014-cars-noida-10584173772,2022-11-24
Hyundai Elite i20,Hyundai,Elite I20,Pune,2015,Petrol,54738,1,Manual,Hatchback,Pune-Pns,False,Mumbai West,Maharashtra,13898,0,562999,https://www.cars24.com/buy-used-hyundai-elite-i20-2015-cars-pune-10674572798,2022-11-24
Honda City,Honda,City,Gurgaon,2015,Petrol,33982,1,Manual,Sedan,Hi-Gurgaon New,False,Gurgaon,Haryana,9688,0,725599,https://www.cars24.com/buy-used-honda-city-2015-cars-gurgaon-10135872719,2022-11-24
Maruti New  Wagon-R,Maruti,New  Wagon-R,New Delhi,2021,Petrol + Cng,27228,1,Manual,Hatchback,New Delhi-Pns,False,New Delhi,Delhi,9688,0,696699,https://www.cars24.com/buy-used-maruti-new-wagon-r-2021-cars-new-delhi-10059173759,2022-11-24
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,Vadodara,2011,Petrol,38247,1,Manual,Hatchback,Hi-Op-Road,False,Vadodara,Gujarat,9688,0,261299,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2011-cars-vadodara-13636076776,2022-11-24
Maruti Baleno,Maruti,Baleno,Gurgaon,2019,Petrol,18740,1,Manual,Hatchback,Hi-Multan Nagar,False,Delhi,Delhi,13898,10600,566499,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-gurgaon-10596097782,2022-09-17
Tata Tiago,Tata,Tiago,Jaipur,2017,Petrol,87923,1,Manual,Hatchback,Hi-Old City Jaipur,False,Ajmer,Rajasthan,9688,-32500,387599,https://www.cars24.com/buy-used-tata-tiago-2017-cars-jaipur-10762977798,2022-10-20
Toyota Etios Liva,Toyota,Etios Liva,Chennai,2011,Petrol,66097,2,Manual,Hatchback,Hi-Chennai,False,Chennai,Tamil Nadu,9688,0,347999,https://www.cars24.com/buy-used-toyota-etios-liva-2011-cars-chennai-11370274793,2022-11-25
Maruti Swift Dzire,Maruti,Swift Dzire,New Delhi,2012,Petrol,92234,2,Manual,Sedan,Hi-Multan Nagar,False,New Delhi,Delhi,13898,0,302799,https://www.cars24.com/buy-used-maruti-swift-dzire-2012-cars-new-delhi-10040398762,2022-11-24
Maruti Swift,Maruti,Swift,New Delhi,2012,Petrol,29012,2,Manual,Hatchback,Hi-Multan Nagar,False,Noida,Uttar Pradesh,9688,0,348899,https://www.cars24.com/buy-used-maruti-swift-2012-cars-new-delhi-10585775776,2022-11-24
Maruti Swift,Maruti,Swift,Bangalore,2011,Diesel,90834,2,Manual,Hatchback,Hi-South 2 Bengaluru,False,Electronic City,Karnataka,12188,-5300,364999,https://www.cars24.com/buy-used-maruti-swift-2011-cars-bangalore-10253096737,2022-10-11
Maruti Baleno,Maruti,Baleno,Mumbai,2017,Diesel,86874,1,,,Hi-Thane West - Manpada,False,Thane,Maharashtra,9688,0,577399,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-mumbai-10344178779,2022-11-23
Maruti Dzire,Maruti,Dzire,Lucknow,2019,Petrol + Cng,46808,1,Manual,Sedan,Vibhuti Khand - Gomti Nagar,False,Lucknow,Uttar Pradesh,13898,20200,645799,https://www.cars24.com/buy-used-maruti-dzire-2019-cars-lucknow-13269799739,2022-09-30
Audi A3,Audi,A3,Faridabad,2014,Diesel,91887,2,Automatic,Luxury Sedan,Sector 73,True,Gurgaon,Haryana,19407,380700,965799,https://www.cars24.com/buy-used-audi-a3-2014-cars-faridabad-1050019044,2021-04-14
