name,make,model,city,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,storename,isc24assured,registrationcity,registrationstate,benefits,discountprice,price,url,createdDate
Maruti XL6,Maruti,Xl6,Faridabad,2019,Petrol,57244,1,Manual,SUV,Hi-Bata Chowk,False,Faridabad,Haryana,12188,86900,940999,https://www.cars24.com/buy-used-maruti-xl6-2019-cars-faridabad-11063279792,2022-10-19
Hyundai Elite i20,Hyundai,Elite I20,Mumbai,2018,Petrol,22543,1,Automatic,Hatchback,Hi-Thane West - Manpada,False,Mumbai East,Maharashtra,13898,0,697299,https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-mumbai-12434294764,2022-10-11
Maruti Swift Dzire,Maruti,Swift Dzire,Hyderabad,2012,Petrol,57122,1,Manual,Sedan,Hi-West Hyd,False,Hyderabad,Telangana,9688,0,490799,https://www.cars24.com/buy-used-maruti-swift-dzire-2012-cars-hyderabad-10437671797,2022-10-18
Ford Ecosport,Ford,Ecosport,New Delhi,2017,Diesel,107173,1,Manual,SUV,New Delhi-Pns,True,New Delhi,Delhi,13898,23100,506599,https://www.cars24.com/buy-used-ford-ecosport-2017-cars-new-delhi-1004708505,2021-09-17
Maruti Swift,Maruti,Swift,Jaipur,2017,Petrol,73582,1,Manual,Hatchback,Hi-Tonk Road,False,Jaipur,Rajasthan,9688,-22800,491699,https://www.cars24.com/buy-used-maruti-swift-2017-cars-jaipur-10724674771,2022-11-11
Hyundai Elite i20,Hyundai,Elite I20,Jaipur,2018,Petrol,34398,2,Manual,Hatchback,Jaipur-Pns,False,Jaipur,Rajasthan,13898,22800,605799,https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-jaipur-1073422460,2022-04-15
Maruti Swift,Maruti,Swift,Nagpur,2018,Petrol,50170,1,Automatic,Hatchback,Pune-Pns,False,Pune,Maharashtra,13898,10000,670899,https://www.cars24.com/buy-used-maruti-swift-2018-cars-nagpur-10686690768,2022-10-13
Jaguar XF,Jaguar,Xf,New Delhi,2013,Diesel,29159,2,Automatic,Luxury Sedan,Rdc Ghaziabad,False,Delhi,Delhi,19407,44000,1505999,https://www.cars24.com/buy-used-jaguar-xf-2013-cars-new-delhi-1128366066,2022-06-05
Renault Kwid,Renault,Kwid,Bangalore,2017,Petrol,27272,2,Manual,Hatchback,Hi-South 4 Bengaluru,False,Bengaluru,Karnataka,12542,14700,369499,https://www.cars24.com/buy-used-renault-kwid-2017-cars-bangalore-10203693707,2022-09-29
Hyundai Elite i20,Hyundai,Elite I20,Nagpur,2015,Diesel,95808,3,Manual,Hatchback,Ravi Nagar,False,Nagpur,Maharashtra,9688,-6000,552599,https://www.cars24.com/buy-used-hyundai-elite-i20-2015-cars-nagpur-12353694767,2022-11-01
Mahindra XUV500,Mahindra,Xuv500,Bangalore,2016,Diesel,51926,2,Automatic,SUV,Bengaluru-Pns,False,Electronic City,Karnataka,19407,141550,1135299,https://www.cars24.com/buy-used-mahindra-xuv500-2016-cars-bangalore-1025280064,2022-07-01
Tata Safari,Tata,Safari,Ahmedabad,2022,Diesel,7585,1,,,Hi-West-Amd,False,Ahmedabad,Gujarat,9688,168400,2362299,https://www.cars24.com/buy-used-tata-safari-2022-cars-ahmedabad-11452673796,2022-11-05
Datsun Go,Datsun,Go,Kochi,2014,Petrol,65429,1,Manual,Hatchback,Hi-Kochi North,False,Ernakulam,Kerala,13898,12300,229599,https://www.cars24.com/buy-used-datsun-go-2014-cars-kochi-13085777790,2022-10-22
Maruti Swift,Maruti,Swift,Mumbai,2012,Petrol,89963,1,Manual,Hatchback,Hi-Worli,False,Pune,Maharashtra,9688,0,349399,https://www.cars24.com/buy-used-maruti-swift-2012-cars-mumbai-10362271796,2022-11-18
Datsun Redi Go,Datsun,Redi Go,Kochi,2016,Petrol,48230,2,Manual,Hatchback,Kochi-Pns,True,Tripunithura,Kerala,12542,34400,183899,https://www.cars24.com/buy-used-datsun-redi-go-2016-cars-kochi-1304522446,2021-09-25
Nissan MAGNITE,Nissan,Magnite,New Delhi,2021,Petrol,13717,1,,,Rohini - Sector 11,False,Delhi,Delhi,9688,76000,763099,https://www.cars24.com/buy-used-nissan-magnite-2021-cars-new-delhi-10095597758,2022-07-08
Hyundai NEW SANTRO,Hyundai,New Santro,Gurgaon,2022,Petrol + Cng,2510,1,Manual,Hatchback,Hi-Nsp Delhi,False,Delhi,Delhi,9688,20400,668099,https://www.cars24.com/buy-used-hyundai-new-santro-2022-cars-gurgaon-10098672798,2022-10-10
Maruti Dzire,Maruti,Dzire,New Delhi,2021,Petrol,11418,1,Manual,Sedan,New Delhi-Pns,False,Mathura,Uttar Pradesh,9688,0,766499,https://www.cars24.com/buy-used-maruti-dzire-2021-cars-new-delhi-10059873755,2022-11-23
Maruti Alto K10,Maruti,Alto K10,Noida,2016,Petrol,31186,1,Automatic,Hatchback,Sector 73,False,Noida,Uttar Pradesh,12542,31900,345099,https://www.cars24.com/buy-used-maruti-alto-k10-2016-cars-noida-10519990709,2022-09-23
Maruti Swift,Maruti,Swift,New Delhi,2017,Petrol,13125,1,Manual,Hatchback,Hi-South East Delhi,False,Delhi,Delhi,12188,5000,495599,https://www.cars24.com/buy-used-maruti-swift-2017-cars-new-delhi-10004679794,2022-11-02
Maruti Alto 800,Maruti,Alto 800,Pune,2016,Petrol + Cng,37554,2,Manual,Hatchback,Hi-Pune,False,Satara,Maharashtra,12542,0,288799,https://www.cars24.com/buy-used-maruti-alto-800-2016-cars-pune-10679779751,2022-11-24
Maruti Wagon R,Maruti,Wagon R,Bangalore,2010,Petrol,59565,2,Manual,Hatchback,Hi-North 1 Bengaluru,False,Bangalore South,Karnataka,9688,-2400,265099,https://www.cars24.com/buy-used-maruti-wagon-r-2010-cars-bangalore-10254676798,2022-10-27
Maruti Eeco,Maruti,Eeco,Surat,2021,Petrol,3581,1,Manual,SUV,Adajan,False,Surat,Gujarat,13898,25200,506199,https://www.cars24.com/buy-used-maruti-eeco-2021-cars-surat-13531298717,2022-06-28
Maruti Celerio,Maruti,Celerio,New Delhi,2016,Petrol,64061,1,Manual,Hatchback,New Delhi-Pns,False,Delhi,Delhi,9688,-20900,394499,https://www.cars24.com/buy-used-maruti-celerio-2016-cars-new-delhi-10035470712,2022-11-23
Hyundai NEW SANTRO,Hyundai,New Santro,New Delhi,2021,Petrol + Cng,18700,1,Manual,Hatchback,Hi-West Delhi,False,Delhi,Delhi,9688,0,626999,https://www.cars24.com/buy-used-hyundai-new-santro-2021-cars-new-delhi-10046477791,2022-10-25
Maruti Baleno,Maruti,Baleno,Surat,2016,Petrol,68222,1,,,Surat-Pns,False,Navsari,Gujarat,13898,-27000,544799,https://www.cars24.com/buy-used-maruti-baleno-2016-cars-surat-13509770770,2022-11-22
Hyundai Verna,Hyundai,Verna,Gurgaon,2017,Petrol,24329,2,Manual,Sedan,Hi-Gurgaon New,False,Gurgaon,Haryana,19407,0,870099,https://www.cars24.com/buy-used-hyundai-verna-2017-cars-gurgaon-10187575711,2022-11-23
Tata Tiago,Tata,Tiago,Bangalore,2016,Petrol,52529,1,Manual,Hatchback,Hi-North 3 Bengaluru,False,Bengaluru,Karnataka,9688,7100,497099,https://www.cars24.com/buy-used-tata-tiago-2016-cars-bangalore-10270891761,2022-10-15
Hyundai Creta,Hyundai,Creta,Mumbai,2016,Petrol,69669,1,Automatic,SUV,Hi-Ucd Mumbai,False,Mumbai,Maharashtra,19407,57400,895599,https://www.cars24.com/buy-used-hyundai-creta-2016-cars-mumbai-10335993742,2022-09-27
Maruti Swift,Maruti,Swift,Nashik,2016,Petrol,29703,1,Manual,Hatchback,Hi-Thane West - Manpada,False,Thane,Maharashtra,9688,24500,540599,https://www.cars24.com/buy-used-maruti-swift-2016-cars-nashik-10331893762,2022-09-25
Tata Tiago,Tata,Tiago,Kolkata,2017,Petrol,65546,1,Manual,Hatchback,Hi-Kolkata,False,Kolkata,West Bengal,9688,-5900,351499,https://www.cars24.com/buy-used-tata-tiago-2017-cars-kolkata-11917373799,2022-11-09
Hyundai Elite i20,Hyundai,Elite I20,Bangalore,2016,Petrol,27881,1,Manual,Hatchback,Hi-North 1 Bengaluru,False,Bengaluru,Karnataka,9688,-27700,663899,https://www.cars24.com/buy-used-hyundai-elite-i20-2016-cars-bangalore-10210375777,2022-11-05
Maruti Eeco,Maruti,Eeco,Ahmedabad,2021,Petrol,2580,1,Manual,SUV,Hi-Vastral Ring Road,False,Ahmedabad East,Gujarat,9688,0,531399,https://www.cars24.com/buy-used-maruti-eeco-2021-cars-ahmedabad-11480276711,2022-11-23
Maruti Baleno,Maruti,Baleno,Rajkot,2017,Petrol,49063,1,,,Hi-West-Amd,False,Ahmedabad,Gujarat,9688,-19300,624099,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-rajkot-11450677797,2022-11-01
Mahindra XUV500,Mahindra,Xuv500,Bangalore,2018,Diesel,75852,2,Automatic,SUV,Hi-North 3 Bengaluru,False,Bengaluru,Karnataka,19407,225500,1424999,https://www.cars24.com/buy-used-mahindra-xuv500-2018-cars-bangalore-10211596721,2022-08-25
Hyundai Elite i20,Hyundai,Elite I20,Mumbai,2016,Petrol,61123,1,Manual,Hatchback,Mumbai-Pns,False,Thane,Maharashtra,13898,30000,473599,https://www.cars24.com/buy-used-hyundai-elite-i20-2016-cars-mumbai-1039932760,2022-04-09
Hyundai Elite i20,Hyundai,Elite I20,Bangalore,2015,Petrol,31131,2,Manual,Hatchback,Hi-South 1 Bengaluru,False,Bangalore K R Puram,Karnataka,13898,-8700,552199,https://www.cars24.com/buy-used-hyundai-elite-i20-2015-cars-bangalore-10255794773,2022-11-11
Maruti Dzire,Maruti,Dzire,New Delhi,2020,Petrol,15847,1,Manual,Sedan,New Delhi-Pns,False,Jhajjar,Haryana,13898,-2300,695499,https://www.cars24.com/buy-used-maruti-dzire-2020-cars-new-delhi-10042773773,2022-11-01
KIA SELTOS,Kia,Seltos,Nagpur,2020,Diesel,82687,1,Manual,SUV,Khamla Chowk,False,Nagpur,Maharashtra,9688,21200,1090299,https://www.cars24.com/buy-used-kia-seltos-2020-cars-nagpur-12372577774,2022-10-22
Maruti Swift,Maruti,Swift,Howrah,2012,Petrol,40110,1,Manual,Hatchback,Hi-Howrah,False,Howrah,West Bengal,13898,26400,326999,https://www.cars24.com/buy-used-maruti-swift-2012-cars-howrah-12682790735,2022-08-26
Hyundai Elite i20,Hyundai,Elite I20,New Delhi,2015,Petrol,57881,1,Manual,Hatchback,New Delhi-Pns,False,Delhi,Delhi,9688,9000,481599,https://www.cars24.com/buy-used-hyundai-elite-i20-2015-cars-new-delhi-10042897729,2022-11-17
Honda Amaze,Honda,Amaze,Nagpur,2019,Petrol,33665,1,Manual,Sedan,Khamla Chowk,False,Nagpur,Maharashtra,13898,11900,653899,https://www.cars24.com/buy-used-honda-amaze-2019-cars-nagpur-12353273717,2022-11-16
Honda City,Honda,City,Mumbai,2017,Petrol,27898,1,Manual,Sedan,Hi-West Mumbai,False,Mumbai,Maharashtra,13898,50100,795399,https://www.cars24.com/buy-used-honda-city-2017-cars-mumbai-1031366469,2022-05-20
Maruti Dzire,Maruti,Dzire,Jaipur,2019,Petrol,53877,1,Manual,Sedan,Jaipur-Pns,False,Kota,Rajasthan,13898,38500,657199,https://www.cars24.com/buy-used-maruti-dzire-2019-cars-jaipur-10715199700,2022-09-15
Maruti Swift,Maruti,Swift,Nashik,2013,Petrol,43499,1,Manual,Hatchback,Hi-West Mumbai,False,Mumbai West,Maharashtra,13898,-19900,399699,https://www.cars24.com/buy-used-maruti-swift-2013-cars-nashik-10383090761,2022-11-07
Maruti Ciaz,Maruti,Ciaz,Kolkata,2018,Petrol,18779,1,Manual,Sedan,Hi-Central Kolkata,False,Kolkata,West Bengal,13898,40900,668399,https://www.cars24.com/buy-used-maruti-ciaz-2018-cars-kolkata-10588392788,2022-07-18
Maruti Baleno,Maruti,Baleno,New Delhi,2017,Petrol,34991,1,,,New Delhi-Pns,False,New Delhi,Delhi,13898,0,596199,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-new-delhi-10045476716,2022-11-24
Hyundai Creta,Hyundai,Creta,Noida,2017,Diesel,62321,1,Automatic,SUV,Hi-Vibhuti Khand,False,Lucknow,Uttar Pradesh,19407,118900,1003899,https://www.cars24.com/buy-used-hyundai-creta-2017-cars-noida-13281599783,2022-07-18
Maruti IGNIS,Maruti,Ignis,Noida,2018,Petrol,34337,1,Manual,Hatchback,Hi-Noida Outer,False,Mathura,Uttar Pradesh,13898,44200,458199,https://www.cars24.com/buy-used-maruti-ignis-2018-cars-noida-10519399772,2022-06-12
Maruti Swift,Maruti,Swift,Chandigarh,2014,Petrol,53152,1,Manual,Hatchback,Chandigarh-Pns,False,Chandigarh,Chandigarh,13898,55100,404399,https://www.cars24.com/buy-used-maruti-swift-2014-cars-chandigarh-1166520966,2022-06-02
Hyundai Verna,Hyundai,Verna,Lucknow,2018,Diesel,29755,1,Manual,Sedan,Lucknow-Pns,False,Azamgarh,Uttar Pradesh,19407,18700,924099,https://www.cars24.com/buy-used-hyundai-verna-2018-cars-lucknow-13291397721,2022-09-08
Hyundai Grand i10,Hyundai,Grand I10,Gurgaon,2016,Petrol,27924,1,Manual,Hatchback,Hi-Multan Nagar,False,Faridabad,Haryana,13898,5000,393199,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-gurgaon-11006697720,2022-10-02
Maruti Celerio,Maruti,Celerio,Ahmedabad,2017,Petrol,94079,1,Manual,Hatchback,Hi-Op-Road,False,Vadodara,Gujarat,12542,-9900,404599,https://www.cars24.com/buy-used-maruti-celerio-2017-cars-ahmedabad-13621890702,2022-10-02
Hyundai Verna,Hyundai,Verna,Bangalore,2011,Petrol,94946,2,Manual,Sedan,Hi-South 3 Bengaluru,False,Bengaluru,Karnataka,9688,12900,486699,https://www.cars24.com/buy-used-hyundai-verna-2011-cars-bangalore-10289474773,2022-11-07
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,Bangalore,2014,Petrol,90429,2,Manual,Hatchback,Hi-North 3 Bengaluru,False,Bengaluru,Karnataka,12542,13700,359499,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2014-cars-bangalore-10272792769,2022-10-03
Hyundai VENUE,Hyundai,Venue,Hyderabad,2021,Petrol,3783,1,Manual,SUV,Hi-South Hyd,False,Hyderabad,Telangana,12188,74900,895699,https://www.cars24.com/buy-used-hyundai-venue-2021-cars-hyderabad-1041244860,2022-04-15
Hyundai Verna,Hyundai,Verna,Lucknow,2018,Petrol,31673,1,Manual,Sedan,Lucknow-Pns,False,Kanpur,Uttar Pradesh,9688,25300,848899,https://www.cars24.com/buy-used-hyundai-verna-2018-cars-lucknow-13251594720,2022-09-08
Tata Tiago,Tata,Tiago,Nashik,2019,Diesel,40718,3,Manual,Hatchback,Mumbai Naka,False,Nashik,Maharashtra,9688,-17100,459999,https://www.cars24.com/buy-used-tata-tiago-2019-cars-nashik-12473991721,2022-09-24
Maruti Ciaz,Maruti,Ciaz,Nashik,2016,Diesel,42185,2,Manual,Sedan,Hi-Thane West - Manpada,False,Mumbai,Maharashtra,13898,17100,677799,https://www.cars24.com/buy-used-maruti-ciaz-2016-cars-nashik-10312198788,2022-07-30
Maruti Swift,Maruti,Swift,Hyderabad,2019,Petrol,39117,2,Automatic,Hatchback,Hi-Central Hyd,False,Hyderabad,Telangana,13898,15000,681299,https://www.cars24.com/buy-used-maruti-swift-2019-cars-hyderabad-10469476779,2022-10-21
Renault Kiger,Renault,Kiger,New Delhi,2021,Petrol,16216,1,,,New Delhi-Pns,False,New Delhi,Delhi,9688,47800,749999,https://www.cars24.com/buy-used-renault-kiger-2021-cars-new-delhi-10094392742,2022-09-10
Maruti Ciaz,Maruti,Ciaz,Bangalore,2015,Diesel,86726,1,Manual,Sedan,Hi-South 1 Bengaluru,False,Bengaluru,Karnataka,13898,5000,678299,https://www.cars24.com/buy-used-maruti-ciaz-2015-cars-bangalore-10204476777,2022-11-08
Hyundai Elite i20,Hyundai,Elite I20,Indore,2018,Petrol,45615,2,Manual,Hatchback,Bhopal-Pns,False,Bhopal,Madhya Pradesh,13898,21800,549899,https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-indore-14600097773,2022-06-25
Maruti Alto,Maruti,Alto,Gurgaon,2022,Petrol,1918,1,Manual,Hatchback,Faridabad,False,Faridabad,Haryana,12542,10400,407599,https://www.cars24.com/buy-used-maruti-alto-2022-cars-gurgaon-11038878717,2022-11-15
Mercedes Benz C Class,Mercedes Benz,C Class,Chandigarh,2010,Diesel,116211,1,Automatic,Luxury Sedan,Sbs Nagar,True,Ludhiana,Punjab,19407,77900,677599,https://www.cars24.com/buy-used-mercedes-benz-c-class-2010-cars-chandigarh-1294066227,2021-04-06
Renault TRIBER,Renault,Triber,Lucknow,2020,Petrol,89969,1,Manual,SUV,Lucknow-Pns,False,Lucknow,Uttar Pradesh,12542,-24200,541599,https://www.cars24.com/buy-used-renault-triber-2020-cars-lucknow-13285273792,2022-11-16
Jeep Compass,Jeep,Compass,Bangalore,2017,Diesel,67651,2,Manual,Luxury SUV,Hi-North 2 Bengaluru,False,Bengaluru,Karnataka,19407,25000,1399399,https://www.cars24.com/buy-used-jeep-compass-2017-cars-bangalore-10222895771,2022-07-01
Maruti Celerio,Maruti,Celerio,Hyderabad,2015,Petrol,40620,1,Manual,Hatchback,Hi-West 2 Hyd,False,Hyderabad,Telangana,9688,-3400,402299,https://www.cars24.com/buy-used-maruti-celerio-2015-cars-hyderabad-10482598764,2022-10-10
Jeep Compass,Jeep,Compass,Bangalore,2019,Diesel,90366,1,Manual,Luxury SUV,Hi-South 2 Bengaluru,False,Shimoga,Karnataka,19407,162800,1376199,https://www.cars24.com/buy-used-jeep-compass-2019-cars-bangalore-10209971795,2022-10-10
Hyundai Xcent,Hyundai,Xcent,New Delhi,2014,Petrol,73302,2,Manual,Sedan,Hi-Rohini Delhi,False,New Delhi,Delhi,9688,-17200,398599,https://www.cars24.com/buy-used-hyundai-xcent-2014-cars-new-delhi-10059675714,2022-11-22
Jeep Compass,Jeep,Compass,Kochi,2018,Diesel,76416,1,Manual,Luxury SUV,Kochi-Pns,False,Ernakulam,Kerala,19407,115000,1338799,https://www.cars24.com/buy-used-jeep-compass-2018-cars-kochi-1300878368,2022-03-22
Hyundai Grand i10,Hyundai,Grand I10,Hyderabad,2014,Diesel,70870,1,Manual,Hatchback,Hi-West Hyd,False,Hyderabad,Telangana,13898,5000,413299,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-hyderabad-10426077777,2022-11-09
Hyundai i10,Hyundai,I10,Gurgaon,2012,Petrol,62918,2,Automatic,Hatchback,Hi-Gurgaon,False,Delhi,Delhi,13898,27700,297699,https://www.cars24.com/buy-used-hyundai-i10-2012-cars-gurgaon-10179990769,2022-11-15
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,Mumbai,2013,Petrol + Cng,72243,3,Manual,Hatchback,Hi-Panvel,False,Kalyan,Maharashtra,12542,41200,275699,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2013-cars-mumbai-10332990705,2022-11-13
Maruti Swift,Maruti,Swift,Chennai,2018,Petrol,22669,1,Manual,Hatchback,Chennai-Pns,False,Chennai,Tamil Nadu,13898,5000,607999,https://www.cars24.com/buy-used-maruti-swift-2018-cars-chennai-11335070715,2022-11-15
Mahindra Scorpio,Mahindra,Scorpio,Noida,2020,Diesel,26932,1,Manual,SUV,Hi-Raj Nagar Ghaziabad,False,Ghaziabad,Uttar Pradesh,19407,105000,1408099,https://www.cars24.com/buy-used-mahindra-scorpio-2020-cars-noida-11222390798,2022-06-05
Maruti Ciaz,Maruti,Ciaz,New Delhi,2019,Petrol,20539,1,Manual,Sedan,New Delhi-Pns,False,New Delhi,Delhi,13898,28500,809699,https://www.cars24.com/buy-used-maruti-ciaz-2019-cars-new-delhi-10076697762,2022-10-09
Tata Harrier,Tata,Harrier,Mumbai,2019,Diesel,55509,2,Manual,SUV,Mumbai-Pns,False,Mumbai,Maharashtra,19407,105700,1377999,https://www.cars24.com/buy-used-tata-harrier-2019-cars-mumbai-1036496962,2022-06-15
Maruti Vitara Brezza,Maruti,Vitara Brezza,Rohtak,2018,Diesel,79514,1,Automatic,SUV,Hi-Gurgaon,False,Gurgaon,Haryana,13898,10400,707899,https://www.cars24.com/buy-used-maruti-vitara-brezza-2018-cars-rohtak-10168397720,2022-08-29
Maruti S Cross,Maruti,S Cross,Chandigarh,2018,Diesel,39643,1,Manual,SUV,Chandigarh-Pns,False,Ambala,Haryana,9688,-4800,741999,https://www.cars24.com/buy-used-maruti-s-cross-2018-cars-chandigarh-11650571779,2022-11-14
Maruti Vitara Brezza,Maruti,Vitara Brezza,Panipat,2017,Diesel,75758,2,Manual,SUV,New Delhi-Pns,False,Delhi,Delhi,13898,30100,645099,https://www.cars24.com/buy-used-maruti-vitara-brezza-2017-cars-panipat-1001074169,2022-06-26
Ford Ecosport,Ford,Ecosport,New Delhi,2017,Petrol,48593,1,Manual,SUV,Hi-East Delhi,False,Delhi,Delhi,13898,14100,668599,https://www.cars24.com/buy-used-ford-ecosport-2017-cars-new-delhi-10082895762,2022-10-03
Datsun Go Plus,Datsun,Go Plus,New Delhi,2020,Petrol,13846,1,Manual,SUV,Hi-Dakshin Delhi,False,New Delhi,Delhi,12188,0,545099,https://www.cars24.com/buy-used-datsun-go-plus-2020-cars-new-delhi-10073499705,2022-09-25
Maruti Swift,Maruti,Swift,Mumbai,2018,Petrol,20489,1,Manual,Hatchback,Hi-Thane West - Manpada,False,Kalyan,Maharashtra,13898,42000,665499,https://www.cars24.com/buy-used-maruti-swift-2018-cars-mumbai-10325796723,2022-08-22
Hyundai Grand i10,Hyundai,Grand I10,Mumbai,2016,Petrol,50911,1,Manual,Hatchback,Mumbai-Pns,False,Panvel,Maharashtra,13898,6300,397299,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-mumbai-10336599767,2022-10-12
Hyundai Elite i20,Hyundai,Elite I20,Jaipur,2020,Petrol,55964,1,Manual,Hatchback,Jaipur-Pns,False,Jaipur,Rajasthan,13898,0,670699,https://www.cars24.com/buy-used-hyundai-elite-i20-2020-cars-jaipur-10786398704,2022-10-06
Maruti Baleno,Maruti,Baleno,New Delhi,2016,Petrol,49602,1,Manual,Hatchback,Hi-Multan Nagar,False,New Delhi,Delhi,13898,28000,497199,https://www.cars24.com/buy-used-maruti-baleno-2016-cars-new-delhi-11264099739,2022-08-29
Toyota Corolla Altis,Toyota,Corolla Altis,Kolkata,2013,Petrol,60387,1,Manual,Luxury Sedan,Hi-Kolkata,False,Kolkata,West Bengal,9688,-21700,386099,https://www.cars24.com/buy-used-toyota-corolla-altis-2013-cars-kolkata-11927275793,2022-10-29
Honda Jazz,Honda,Jazz,Chennai,2017,Petrol,57270,1,Automatic,Hatchback,Chennai-Pns,False,Chennai,Tamil Nadu,13898,49500,627499,https://www.cars24.com/buy-used-honda-jazz-2017-cars-chennai-11359794745,2022-09-03
Tata Harrier,Tata,Harrier,Gurgaon,2020,Diesel,28625,2,Manual,SUV,Hi-Gurgaon New,False,Gurgaon,Haryana,12188,112300,1482699,https://www.cars24.com/buy-used-tata-harrier-2020-cars-gurgaon-10194278793,2022-11-04
Mahindra XUV 3OO,Mahindra,Xuv 3Oo,Howrah,2021,Petrol,15777,1,,,Hi-Howrah,False,Howrah,West Bengal,9688,85400,741499,https://www.cars24.com/buy-used-mahindra-xuv-3oo-2021-cars-howrah-12658193738,2022-08-03
Hyundai VENUE,Hyundai,Venue,Gurgaon,2019,Diesel,29776,1,Manual,SUV,Faridabad,False,Faridabad,Haryana,13898,43100,887099,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-gurgaon-11015899726,2022-08-24
Honda City,Honda,City,Kochi,2011,Petrol,59849,2,Manual,Sedan,Hi-Kochi East,False,Kothamangalam,Kerala,9688,30200,421899,https://www.cars24.com/buy-used-honda-city-2011-cars-kochi-13072599765,2022-10-11
Maruti Vitara Brezza,Maruti,Vitara Brezza,Noida,2019,Diesel,56490,1,Manual,SUV,Noida Sector-49,False,Noida,Uttar Pradesh,13898,61700,830999,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-noida-10558572797,2022-10-20
Maruti Baleno,Maruti,Baleno,Hyderabad,2019,Diesel,80155,2,Manual,Hatchback,Hi-West 2 Hyd,False,Hyderabad,Telangana,13898,32400,723999,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-hyderabad-10479993734,2022-09-03
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,New Delhi,2017,Petrol,34176,2,Manual,Hatchback,Hi-North Central Delhi,False,Delhi,Delhi,12542,12150,382949,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2017-cars-new-delhi-10093493748,2022-10-01
Maruti Swift,Maruti,Swift,New Delhi,2019,Petrol,36455,1,Manual,Hatchback,Hi-South East Delhi,False,New Delhi,Delhi,9688,15200,531499,https://www.cars24.com/buy-used-maruti-swift-2019-cars-new-delhi-10038572771,2022-11-23
Hyundai Grand i10,Hyundai,Grand I10,Indore,2017,Petrol,79116,1,Automatic,Hatchback,Bhopal-Pns,False,Katni,Madhya Pradesh,13898,5000,554899,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-indore-14642795741,2022-08-30
Hyundai NEW SANTRO,Hyundai,New Santro,Bangalore,2020,Petrol,13381,1,Automatic,Hatchback,Hi-North 1 Bengaluru,False,Bengaluru,Karnataka,13898,5000,611099,https://www.cars24.com/buy-used-hyundai-new-santro-2020-cars-bangalore-10299579713,2022-11-07
Maruti Alto,Maruti,Alto,Patna,2019,Petrol,34383,1,Manual,Hatchback,Hi-Central Patna,False,Patna,Bihar,12542,38500,314399,https://www.cars24.com/buy-used-maruti-alto-2019-cars-patna-14406599725,2022-09-10
Hyundai Elite i20,Hyundai,Elite I20,New Delhi,2016,Petrol,37239,1,Manual,Hatchback,Hi-Multan Nagar,False,Delhi,Delhi,13898,-2100,603899,https://www.cars24.com/buy-used-hyundai-elite-i20-2016-cars-new-delhi-10063592767,2022-11-12
BMW 3 Series,Bmw,3 Series,Chandigarh,2013,Diesel,153524,3,Automatic,Luxury Sedan,Mohali Store,True,Chandigarh,Chandigarh,19407,126000,1081599,https://www.cars24.com/buy-used-bmw-3-series-2013-cars-chandigarh-1093922549,2021-07-01
Mahindra TUV300,Mahindra,Tuv300,Mumbai,2018,Diesel,56859,2,Automatic,SUV,Mumbai-Pns,False,Palghar,Maharashtra,13898,38300,692099,https://www.cars24.com/buy-used-mahindra-tuv300-2018-cars-mumbai-1031720562,2022-06-21
Tata NEXON,Tata,Nexon,Gurgaon,2018,Diesel,75679,1,Manual,SUV,Hi-Sonipat,False,Sonepat,Haryana,13898,8500,687499,https://www.cars24.com/buy-used-tata-nexon-2018-cars-gurgaon-11564998769,2022-10-08
Mahindra XUV 3OO,Mahindra,Xuv 3Oo,Patna,2021,Petrol,30488,1,,,Hi-Central Patna,False,Patna,Bihar,9688,66300,1126399,https://www.cars24.com/buy-used-mahindra-xuv-3oo-2021-cars-patna-14406990763,2022-10-08
Hyundai Elite i20,Hyundai,Elite I20,Hyderabad,2018,Diesel,31813,1,Manual,Hatchback,Hyderabad-Pns,False,Hyderabad,Telangana,13898,29300,806899,https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-hyderabad-10469992728,2022-09-01
Tata Tiago,Tata,Tiago,New Delhi,2021,Petrol,2869,1,Manual,Hatchback,Hi-East Delhi,False,Delhi,Delhi,9688,31300,564999,https://www.cars24.com/buy-used-tata-tiago-2021-cars-new-delhi-10003590766,2022-09-29
