name,make,model,city,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,storename,isc24assured,registrationcity,registrationstate,benefits,discountprice,price,url,createdDate
Maruti New  Wagon-R,Maruti,New  Wagon-R,Gurgaon,2020,Petrol,26118,2,Manual,Hatchback,Hi-Multan Nagar,False,Badhara,Haryana,12188,21500,445000,https://www.cars24.com/buy-used-maruti-new-wagon-r-2020-cars-gurgaon-10558172795,2022-10-23
Hyundai Elite i20,Hyundai,Elite I20,Pune,2015,Petrol,70031,2,Manual,Hatchback,Pune-Pns,False,Pune,Maharashtra,13898,56000,507000,https://www.cars24.com/buy-used-hyundai-elite-i20-2015-cars-pune-10668873771,2022-11-10
Maruti IGNIS,Maruti,Ignis,Coimbatore,2018,Petrol,49519,1,Manual,Hatchback,Chennai-Pns,False,Chennai,Tamil Nadu,13898,28300,483000,https://www.cars24.com/buy-used-maruti-ignis-2018-cars-coimbatore-11304099717,2022-06-19
Mahindra TUV300,Mahindra,Tuv300,New Delhi,2018,Diesel,42979,1,Manual,SUV,Hi-South East Delhi,False,New Delhi,Delhi,9688,0,624799,https://www.cars24.com/buy-used-mahindra-tuv300-2018-cars-new-delhi-10033072710,2022-12-08
Honda Accord,Honda,Accord,Noida,2011,Petrol,63041,1,Manual,Sedan,Hi-East Delhi,False,Delhi,Delhi,19407,-37000,508000,https://www.cars24.com/buy-used-honda-accord-2011-cars-noida-10029699776,2022-07-09
Hyundai i10,Hyundai,I10,Jaipur,2016,Petrol,26540,1,Manual,Hatchback,Hi-Chitrakoot,False,Jaipur,Rajasthan,13898,5000,418000,https://www.cars24.com/buy-used-hyundai-i10-2016-cars-jaipur-10733997764,2022-10-05
Honda City,Honda,City,Ahmedabad,2015,Petrol,51469,2,Automatic,Sedan,Hi-West-Amd,False,Ahmedabad,Gujarat,9688,-10300,737000,https://www.cars24.com/buy-used-honda-city-2015-cars-ahmedabad-11430772715,2022-12-08
Maruti XL6,Maruti,Xl6,Chennai,2020,Petrol,18212,1,Manual,SUV,Hi-Chennai,False,Chennai,Tamil Nadu,12188,-100,1076000,https://www.cars24.com/buy-used-maruti-xl6-2020-cars-chennai-11320174713,2022-12-08
Hyundai Creta,Hyundai,Creta,New Delhi,2017,Diesel,58528,1,Manual,SUV,Hi-Yamuna Bank Delhi,False,Goutam  Budd  Nagar,Uttar Pradesh,13898,5000,919000,https://www.cars24.com/buy-used-hyundai-creta-2017-cars-new-delhi-10088977713,2022-12-08
Volkswagen Polo,Volkswagen,Polo,New Delhi,2018,Petrol,28361,1,Manual,Hatchback,Hi-Rohini Delhi,False,New Delhi,Delhi,12542,-10500,623000,https://www.cars24.com/buy-used-volkswagen-polo-2018-cars-new-delhi-10010679773,2022-11-05
Hyundai Elite i20,Hyundai,Elite I20,Pune,2014,Diesel,86102,2,Manual,Hatchback,Hi-Pune,False,Navi Mumbai,Maharashtra,13898,0,490000,https://www.cars24.com/buy-used-hyundai-elite-i20-2014-cars-pune-10353599754,2022-12-09
Datsun Redi Go,Datsun,Redi Go,New Delhi,2019,Petrol + Cng,41919,1,Manual,Hatchback,New Delhi-Pns,False,New Delhi,Delhi,9688,0,317000,https://www.cars24.com/buy-used-datsun-redi-go-2019-cars-new-delhi-10004171772,2022-12-09
Hyundai i10,Hyundai,I10,Chennai,2014,Petrol,94231,1,Manual,Hatchback,Chennai-Pns,False,Chennai,Tamil Nadu,9688,5000,377000,https://www.cars24.com/buy-used-hyundai-i10-2014-cars-chennai-11317075755,2022-12-08
Honda Jazz,Honda,Jazz,Surat,2011,Petrol,46178,1,Manual,Hatchback,Hi-Adajan,False,Surat,Gujarat,9688,-10701,325000,https://www.cars24.com/buy-used-honda-jazz-2011-cars-surat-13584778792,2022-11-28
KIA SELTOS,Kia,Seltos,Gurgaon,2020,Petrol,8902,1,Manual,SUV,Hi-Gurgaon New,False,Gurgaon,Haryana,9688,77900,1217000,https://www.cars24.com/buy-used-kia-seltos-2020-cars-gurgaon-10122278717,2022-11-24
Maruti Swift,Maruti,Swift,New Delhi,2018,Petrol + Cng,82644,1,Manual,Hatchback,Hi-North West,False,Delhi,Delhi,13898,-3000,536000,https://www.cars24.com/buy-used-maruti-swift-2018-cars-new-delhi-10090491766,2022-12-02
Hyundai Creta,Hyundai,Creta,Gurgaon,2019,Diesel,73150,1,Manual,SUV,Hi-Gurgaon,False,Gurgaon,Haryana,13898,61200,896699,https://www.cars24.com/buy-used-hyundai-creta-2019-cars-gurgaon-1013041066,2022-03-03
Hyundai Creta,Hyundai,Creta,Noida,2020,Diesel,21176,1,Manual,SUV,Hi-Noida Outer,False,Noida,Uttar Pradesh,13898,118300,1194000,https://www.cars24.com/buy-used-hyundai-creta-2020-cars-noida-10554870711,2022-11-16
Ford Ecosport,Ford,Ecosport,Mumbai,2016,Diesel,78870,1,Manual,SUV,Hi-West Mumbai,False,Mumbai,Maharashtra,13898,-300,523000,https://www.cars24.com/buy-used-ford-ecosport-2016-cars-mumbai-10331771790,2022-12-08
MG HECTOR,Mg,Hector,Hyderabad,2020,Diesel,69338,1,Manual,SUV,Hi-East 2 Hyd,False,Vijayawada,Andhra Pradesh,9688,226900,1536000,https://www.cars24.com/buy-used-mg-hector-2020-cars-hyderabad-10433994750,2022-08-26
Maruti Alto K10,Maruti,Alto K10,New Delhi,2017,Petrol,21188,1,Manual,Hatchback,Hi-Yamuna Bank Delhi,False,New Delhi,Delhi,9688,5000,349000,https://www.cars24.com/buy-used-maruti-alto-k10-2017-cars-new-delhi-10076675716,2022-12-08
Mahindra XUV500,Mahindra,Xuv500,Mumbai,2016,Diesel,50022,2,Automatic,SUV,Hi-Andheri East,False,Mumbai,Maharashtra,9688,0,1070000,https://www.cars24.com/buy-used-mahindra-xuv500-2016-cars-mumbai-12445576716,2022-12-09
Maruti New  Wagon-R,Maruti,New  Wagon-R,Mumbai,2019,Petrol + Cng,38290,1,Manual,Hatchback,Hi-Thane West - Manpada,False,Thane,Maharashtra,9688,5000,583000,https://www.cars24.com/buy-used-maruti-new-wagon-r-2019-cars-mumbai-10364476716,2022-12-08
Tata NEXON,Tata,Nexon,Ghaziabad,2018,Petrol + Cng,65714,1,Manual,SUV,Hi-Raj Nagar Ghaziabad,False,Meerut,Uttar Pradesh,13898,5000,672000,https://www.cars24.com/buy-used-tata-nexon-2018-cars-ghaziabad-11247679719,2022-12-08
Skoda KUSHAQ,Skoda,Kushaq,Gurgaon,2022,Petrol,15761,1,,,Hi-Gurgaon New,False,New Delhi,Delhi,12188,79400,1155000,https://www.cars24.com/buy-used-skoda-kushaq-2022-cars-gurgaon-10162470796,2022-10-30
Maruti Celerio,Maruti,Celerio,Chennai,2014,Petrol,77475,2,Automatic,Hatchback,Hi-Chennai,False,Chennai,Tamil Nadu,12542,-400,369000,https://www.cars24.com/buy-used-maruti-celerio-2014-cars-chennai-11318978752,2022-12-08
Maruti Alto 800,Maruti,Alto 800,Gurgaon,2018,Petrol,13951,1,Manual,Hatchback,Hi-Gurgaon New,False,Gurgaon,Haryana,12542,-300,309000,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-gurgaon-10161479750,2022-12-08
Honda Amaze,Honda,Amaze,Kolkata,2013,Petrol,82397,1,Manual,Sedan,Hi-Kolkata,False,Kolkata,West Bengal,9688,-19600,278000,https://www.cars24.com/buy-used-honda-amaze-2013-cars-kolkata-11934674775,2022-11-14
Maruti Swift,Maruti,Swift,Ahmedabad,2012,Petrol,75606,1,Manual,Hatchback,Hi-West-Amd,False,Surendranagar,Gujarat,9688,300,375099,https://www.cars24.com/buy-used-maruti-swift-2012-cars-ahmedabad-11401272795,2022-12-07
Maruti Swift,Maruti,Swift,New Delhi,2022,Petrol,371,1,Manual,Hatchback,Hi-North Delhi,False,Delhi,Delhi,9688,-200,635000,https://www.cars24.com/buy-used-maruti-swift-2022-cars-new-delhi-10017473718,2022-12-07
Maruti Alto,Maruti,Alto,Ahmedabad,2022,Petrol,4061,1,Manual,Hatchback,Ahmedabad-Pns,False,Anand,Gujarat,9688,-100,419000,https://www.cars24.com/buy-used-maruti-alto-2022-cars-ahmedabad-11420373710,2022-12-08
Honda Amaze,Honda,Amaze,Gurgaon,2014,Petrol,63946,1,Manual,Sedan,Dwarka Sector 6,False,Bhiwani,Haryana,13898,-10000,354000,https://www.cars24.com/buy-used-honda-amaze-2014-cars-gurgaon-10048392726,2022-09-30
Maruti Alto,Maruti,Alto,New Delhi,2022,Petrol,6040,1,Manual,Hatchback,Hi-Multan Nagar,False,Noida,Uttar Pradesh,12188,-100,392000,https://www.cars24.com/buy-used-maruti-alto-2022-cars-new-delhi-10502293735,2022-12-08
Maruti Swift,Maruti,Swift,New Delhi,2010,Petrol,21299,1,Manual,Hatchback,Hi-West Delhi,False,Delhi,Delhi,13898,19500,261499,https://www.cars24.com/buy-used-maruti-swift-2010-cars-new-delhi-10041890750,2022-09-04
Maruti Ertiga,Maruti,Ertiga,Mumbai,2017,Diesel,21655,1,Manual,SUV,Hi-Worli,False,Mumbai,Maharashtra,9688,0,893000,https://www.cars24.com/buy-used-maruti-ertiga-2017-cars-mumbai-10368176752,2022-12-09
Honda City,Honda,City,Mumbai,2018,Petrol,35832,1,Automatic,Sedan,Mumbai-Pns,False,Mumbai,Maharashtra,13898,-100,1135000,https://www.cars24.com/buy-used-honda-city-2018-cars-mumbai-10355979758,2022-12-08
Mahindra KUV 100 NXT,Mahindra,Kuv 100 Nxt,Bangalore,2018,Petrol,40676,2,Manual,SUV,Hi-North 3 Bengaluru,False,Bengaluru,Karnataka,12188,-100,430100,https://www.cars24.com/buy-used-mahindra-kuv-100-nxt-2018-cars-bangalore-10259690722,2022-09-03
Hyundai Elite i20,Hyundai,Elite I20,New Delhi,2015,Petrol,72521,3,Manual,Hatchback,Hi-Multan Nagar,False,New Delhi,Delhi,13898,5200,437000,https://www.cars24.com/buy-used-hyundai-elite-i20-2015-cars-new-delhi-10066396700,2022-11-21
Maruti Alto K10,Maruti,Alto K10,New Delhi,2019,Petrol,25603,1,Manual,Hatchback,Hi-North Delhi,False,New Delhi,Delhi,9688,-300,413000,https://www.cars24.com/buy-used-maruti-alto-k10-2019-cars-new-delhi-10044672775,2022-12-08
Tata NEXON,Tata,Nexon,Chennai,2020,Petrol,30356,1,Manual,SUV,Chennai-Pns,False,Chennai,Tamil Nadu,9688,5000,1119000,https://www.cars24.com/buy-used-tata-nexon-2020-cars-chennai-11340370711,2022-12-08
Renault Kwid,Renault,Kwid,Gurgaon,2016,Petrol,63720,2,Manual,Hatchback,Hi-Gurgaon New,False,Gurgaon,Haryana,12542,0,234099,https://www.cars24.com/buy-used-renault-kwid-2016-cars-gurgaon-10133470777,2022-11-27
Maruti Ertiga,Maruti,Ertiga,New Delhi,2013,Petrol,44603,1,Manual,SUV,Hi-South Ex,False,New Delhi,Delhi,13898,-4200,522000,https://www.cars24.com/buy-used-maruti-ertiga-2013-cars-new-delhi-10039778795,2022-12-03
Hyundai Verna,Hyundai,Verna,Kolkata,2016,Petrol,73664,1,Manual,Sedan,Hi-Kolkata,False,Kolkata,West Bengal,9688,-23700,523699,https://www.cars24.com/buy-used-hyundai-verna-2016-cars-kolkata-11937871799,2022-10-29
Renault TRIBER,Renault,Triber,New Delhi,2020,Petrol,43793,1,Manual,SUV,Hi-Multan Nagar,False,Faridabad,Haryana,9688,5000,612000,https://www.cars24.com/buy-used-renault-triber-2020-cars-new-delhi-11036475771,2022-12-08
Hyundai Grand i10,Hyundai,Grand I10,Mumbai,2017,Petrol,13909,1,Manual,Hatchback,Hi-West Mumbai,False,Mumbai,Maharashtra,9688,-300,538000,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-mumbai-10315977711,2022-12-08
Hyundai VENUE,Hyundai,Venue,Gurgaon,2019,Petrol,57770,1,Automatic,SUV,Hi-Multan Nagar,False,Gurgaon,Haryana,9688,46999,1006000,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-gurgaon-10178496786,2022-08-21
Hyundai Creta,Hyundai,Creta,Patna,2015,Petrol,52045,1,Manual,SUV,Hi-Central Patna,False,Patna,Bihar,9688,-24200,775000,https://www.cars24.com/buy-used-hyundai-creta-2015-cars-patna-14499277778,2022-11-15
Maruti Dzire,Maruti,Dzire,Patna,2018,Diesel,56335,1,Manual,Sedan,Hi-Central Patna,False,Patna,Bihar,13898,12300,661000,https://www.cars24.com/buy-used-maruti-dzire-2018-cars-patna-14464175794,2022-10-31
Hyundai Elite i20,Hyundai,Elite I20,Nashik,2019,Diesel,66487,1,Manual,Hatchback,Hi-Pune,False,Pune,Maharashtra,13898,39550,779000,https://www.cars24.com/buy-used-hyundai-elite-i20-2019-cars-nashik-10616793777,2022-06-18
Hyundai Grand i10,Hyundai,Grand I10,New Delhi,2015,Petrol,80533,1,Manual,Hatchback,New Delhi-Pns,False,Gurgaon,Haryana,9688,5000,433000,https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-new-delhi-10047093709,2022-12-08
Volkswagen Polo,Volkswagen,Polo,Bangalore,2018,Petrol,64581,1,Manual,Hatchback,Hi-East 1 Bengaluru,False,Bengaluru,Karnataka,9688,8700,621000,https://www.cars24.com/buy-used-volkswagen-polo-2018-cars-bangalore-10211597768,2022-10-27
Volkswagen Polo,Volkswagen,Polo,Pune,2016,Petrol,52942,1,Manual,Hatchback,Hi-Pune,False,Panvel,Maharashtra,13898,-10201,527000,https://www.cars24.com/buy-used-volkswagen-polo-2016-cars-pune-10632779791,2022-11-01
Datsun Go,Datsun,Go,Chennai,2017,Petrol,21741,1,Manual,Hatchback,Hi-Chennai,False,Ranipet,Tamil Nadu,9688,5000,312000,https://www.cars24.com/buy-used-datsun-go-2017-cars-chennai-11373072713,2022-12-07
Honda Amaze,Honda,Amaze,New Delhi,2017,Petrol + Cng,73209,2,Manual,Sedan,Hi-West Delhi,False,Delhi,Delhi,9688,-12600,479000,https://www.cars24.com/buy-used-honda-amaze-2017-cars-new-delhi-10021675775,2022-12-05
Hyundai Verna,Hyundai,Verna,Mumbai,2019,Diesel,29373,1,Automatic,Sedan,Hi-Panvel,False,Sanpada,Maharashtra,19407,5000,1325000,https://www.cars24.com/buy-used-hyundai-verna-2019-cars-mumbai-10398171750,2022-12-08
Tata TIGOR,Tata,Tigor,Lucknow,2022,Petrol + Cng,4725,1,,,Hi-Alambagh,False,Lucknow,Uttar Pradesh,12188,40100,760699,https://www.cars24.com/buy-used-tata-tigor-2022-cars-lucknow-13269397723,2022-08-31
Hyundai Grand i10,Hyundai,Grand I10,Rajkot,2016,Petrol,69959,1,Manual,Hatchback,Hi-West-Amd,False,Ahmedabad,Gujarat,13898,5000,407000,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-rajkot-11442270795,2022-11-04
Maruti Swift,Maruti,Swift,Howrah,2012,Petrol,40110,1,Manual,Hatchback,Hi-Howrah,False,Howrah,West Bengal,13898,32000,321000,https://www.cars24.com/buy-used-maruti-swift-2012-cars-howrah-12682790735,2022-08-26
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,Mumbai,2017,Petrol + Cng,57606,1,Manual,Hatchback,Hi-West Mumbai,False,Mumbai,Maharashtra,12542,0,448000,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2017-cars-mumbai-10338077773,2022-12-09
Renault Kwid,Renault,Kwid,Hyderabad,2019,Petrol,39111,1,Manual,Hatchback,Hi-South Hyd,False,Hyderabad,Telangana,12542,17500,363000,https://www.cars24.com/buy-used-renault-kwid-2019-cars-hyderabad-10420699744,2022-09-12
Maruti Celerio,Maruti,Celerio,Gurgaon,2015,Petrol,72908,1,Manual,Hatchback,Hi-Gurgaon New,False,New Delhi,Delhi,9688,0,376000,https://www.cars24.com/buy-used-maruti-celerio-2015-cars-gurgaon-10131572750,2022-12-09
