name,make,model,city,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,storename,isc24assured,registrationcity,registrationstate,benefits,discountprice,price,url,createdDate
Hyundai Elite i20,Hyundai,Elite I20,Kochi,2017,Petrol,35939,2,Manual,Hatchback,Kochi-Pns,False,Kozhikode,Kerala,13898,47399,607000,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-kochi-1301258066,2022-03-24
Maruti Alto 800,Maruti,Alto 800,Mumbai,2016,Petrol + Cng,6180,1,Manual,Hatchback,Hi-West Mumbai,False,Mumbai,Maharashtra,12542,2099,326000,https://www.cars24.com/buy-used-maruti-alto-800-2016-cars-mumbai-10376393749,2022-11-09
Maruti Dzire,Maruti,Dzire,Lucknow,2019,Petrol + Cng,46808,1,Manual,Sedan,Vibhuti Khand - Gomti Nagar,False,Lucknow,Uttar Pradesh,13898,26000,640000,https://www.cars24.com/buy-used-maruti-dzire-2019-cars-lucknow-13269799739,2022-09-30
KIA SELTOS,Kia,Seltos,Bangalore,2020,Diesel,26045,1,Manual,SUV,Bengaluru-Pns,False,Bengaluru,Karnataka,9688,143700,1354000,https://www.cars24.com/buy-used-kia-seltos-2020-cars-bangalore-10223291755,2022-07-04
Maruti Ertiga,Maruti,Ertiga,Kolkata,2017,Petrol,53056,1,Manual,SUV,Hi-Kolkata,False,Barrackpore,West Bengal,13898,22800,676000,https://www.cars24.com/buy-used-maruti-ertiga-2017-cars-kolkata-11929876798,2022-10-28
Ford Ecosport,Ford,Ecosport,Pune,2014,Petrol,85905,1,Manual,SUV,Pune-Pns,False,Pune,Maharashtra,13898,13100,468000,https://www.cars24.com/buy-used-ford-ecosport-2014-cars-pune-10626491709,2022-11-09
Toyota Innova,Toyota,Innova,Mumbai,2012,Diesel,353288,1,Manual,SUV,Kandivali West - Dahanukar,True,Mumbai,Maharashtra,19407,95600,615000,https://www.cars24.com/buy-used-toyota-innova-2012-cars-mumbai-1036866227,2021-03-24
Toyota Innova Crysta,Toyota,Innova Crysta,Pune,2017,Petrol,91964,2,Automatic,SUV,Hi-Pune,False,Pune,Maharashtra,9688,121500,1614000,https://www.cars24.com/buy-used-toyota-innova-crysta-2017-cars-pune-10692178719,2022-11-15
Tata Tiago,Tata,Tiago,Indore,2017,Petrol,47440,2,Manual,Hatchback,Bhopal-Pns,False,Bhopal,Madhya Pradesh,9688,-7000,452000,https://www.cars24.com/buy-used-tata-tiago-2017-cars-indore-14649291765,2022-10-02
Volkswagen Polo,Volkswagen,Polo,Kolkata,2015,Diesel,77595,1,Manual,Hatchback,Hi-Kolkata,False,Kolkata,West Bengal,13898,-24400,368600,https://www.cars24.com/buy-used-volkswagen-polo-2015-cars-kolkata-11920798764,2022-11-09
Toyota Etios Liva,Toyota,Etios Liva,Kochi,2018,Petrol,49804,1,Manual,Hatchback,Kochi-Pns,False,Tripunithura,Kerala,13898,45950,611000,https://www.cars24.com/buy-used-toyota-etios-liva-2018-cars-kochi-1302283661,2022-05-08
Volkswagen Ameo,Volkswagen,Ameo,Faridabad,2018,Petrol,62492,2,Manual,Sedan,New Delhi-Pns,False,New Delhi,Delhi,13898,-24101,428000,https://www.cars24.com/buy-used-volkswagen-ameo-2018-cars-faridabad-10020779791,2022-10-18
Ford Ecosport,Ford,Ecosport,New Delhi,2014,Petrol,53429,1,Manual,SUV,Hi-South Ex,False,New Delhi,Delhi,13898,0,510899,https://www.cars24.com/buy-used-ford-ecosport-2014-cars-new-delhi-10014478792,2022-12-07
Nissan Terrano,Nissan,Terrano,Bangalore,2014,Petrol,76646,2,Manual,SUV,Hi-East 1 Bengaluru,False,Bengaluru,Karnataka,9688,6800,544899,https://www.cars24.com/buy-used-nissan-terrano-2014-cars-bangalore-10210971772,2022-11-07
Maruti Swift,Maruti,Swift,New Delhi,2016,Petrol,24287,1,Manual,Hatchback,Hi-Uttam Nagar Delhi,False,New Delhi,Delhi,9688,5000,484000,https://www.cars24.com/buy-used-maruti-swift-2016-cars-new-delhi-10091273755,2022-12-08
Skoda Rapid,Skoda,Rapid,Mumbai,2012,Petrol,62923,1,Manual,Sedan,Hi-Andheri East,False,Thane,Maharashtra,12188,-2501,238000,https://www.cars24.com/buy-used-skoda-rapid-2012-cars-mumbai-10397896769,2022-12-08
Volkswagen Polo,Volkswagen,Polo,Hyderabad,2019,Petrol,59938,1,Manual,Hatchback,Hyderabad-Pns,False,Hyderabad,Telangana,12542,21600,559200,https://www.cars24.com/buy-used-volkswagen-polo-2019-cars-hyderabad-10492199737,2022-09-11
Maruti Celerio,Maruti,Celerio,New Delhi,2021,Petrol,11828,1,Manual,Hatchback,East-Of-Kailash,False,New Delhi,Delhi,12188,6899,492000,https://www.cars24.com/buy-used-maruti-celerio-2021-cars-new-delhi-10045396762,2022-10-29
Maruti Swift,Maruti,Swift,Nagpur,2014,Petrol,37197,2,Manual,Hatchback,Hi-Thane West - Manpada,False,Thane,Maharashtra,9688,-8000,377999,https://www.cars24.com/buy-used-maruti-swift-2014-cars-nagpur-10392473792,2022-11-23
Hyundai Santro Xing,Hyundai,Santro Xing,New Delhi,2013,Petrol,49959,1,Manual,Hatchback,New Delhi-Pns,False,Noida,Uttar Pradesh,13898,0,242399,https://www.cars24.com/buy-used-hyundai-santro-xing-2013-cars-new-delhi-10057376750,2022-12-07
Renault Kwid,Renault,Kwid,New Delhi,2020,Petrol,43365,1,Manual,Hatchback,New Delhi-Pns,False,Noida,Uttar Pradesh,12542,0,386000,https://www.cars24.com/buy-used-renault-kwid-2020-cars-new-delhi-10007471750,2022-12-09
Maruti Alto K10,Maruti,Alto K10,Chennai,2010,Petrol,77123,1,Manual,Hatchback,Hi-Chennai,False,Chennai,Tamil Nadu,9688,0,213499,https://www.cars24.com/buy-used-maruti-alto-k10-2010-cars-chennai-11320972778,2022-12-07
Volkswagen Ameo,Volkswagen,Ameo,Pune,2017,Petrol,50076,1,Manual,Sedan,Hi-Pune,False,Pune,Maharashtra,13898,-10700,500000,https://www.cars24.com/buy-used-volkswagen-ameo-2017-cars-pune-10661879777,2022-11-09
Maruti New  Wagon-R,Maruti,New  Wagon-R,New Delhi,2021,Petrol + Cng,31023,1,Manual,Hatchback,Hi-Faridabad,False,Faridabad,Haryana,9688,-19601,627000,https://www.cars24.com/buy-used-maruti-new-wagon-r-2021-cars-new-delhi-11074475778,2022-11-16
Maruti Celerio,Maruti,Celerio,Faridabad,2017,Petrol,26125,1,Manual,Hatchback,New Delhi-Pns,False,Gurgaon,Haryana,12542,36099,396000,https://www.cars24.com/buy-used-maruti-celerio-2017-cars-faridabad-10062999789,2022-08-06
Maruti Ertiga,Maruti,Ertiga,Hyderabad,2019,Petrol,78855,2,Automatic,SUV,Hi-West 2 Hyd,False,Hyderabad,Telangana,12188,-101,870000,https://www.cars24.com/buy-used-maruti-ertiga-2019-cars-hyderabad-10427673777,2022-11-12
Jeep Compass,Jeep,Compass,New Delhi,2018,Petrol,45323,1,Automatic,Luxury SUV,Hi-North West,False,Delhi,Delhi,13898,15200,1267000,https://www.cars24.com/buy-used-jeep-compass-2018-cars-new-delhi-10000591762,2022-12-02
Hyundai VENUE,Hyundai,Venue,Sonipat,2022,Petrol,6905,1,Manual,SUV,Hi-Sonipat,False,Sonipat,Haryana,12188,5000,918000,https://www.cars24.com/buy-used-hyundai-venue-2022-cars-sonipat-11582871750,2022-12-08
Maruti New  Wagon-R,Maruti,New  Wagon-R,Gurgaon,2021,Petrol + Cng,25028,1,Manual,Hatchback,Hi-Gurgaon New,False,Gurgaon,Haryana,9688,5000,654000,https://www.cars24.com/buy-used-maruti-new-wagon-r-2021-cars-gurgaon-10132979750,2022-12-09
Tata Tiago,Tata,Tiago,Surat,2016,Petrol,58908,1,Manual,Hatchback,Surat-Pns,False,Surat,Gujarat,13898,-21900,360000,https://www.cars24.com/buy-used-tata-tiago-2016-cars-surat-13579570776,2022-12-03
Renault Kwid,Renault,Kwid,Kochi,2019,Petrol,78870,1,Manual,Hatchback,Hi-Kochi South 2,False,Muvattupuzha,Kerala,12542,-5200,338000,https://www.cars24.com/buy-used-renault-kwid-2019-cars-kochi-13027172778,2022-10-22
Hyundai i10,Hyundai,I10,Rajkot,2011,Petrol,63818,1,Manual,Hatchback,Hi-West-Amd,False,Junagadh,Gujarat,13898,7000,269000,https://www.cars24.com/buy-used-hyundai-i10-2011-cars-rajkot-11400076797,2022-11-20
Hyundai Creta,Hyundai,Creta,New Delhi,2018,Diesel,71568,1,Manual,SUV,New Delhi-Pns,False,Ghaziabad,Uttar Pradesh,19407,5000,1345000,https://www.cars24.com/buy-used-hyundai-creta-2018-cars-new-delhi-10059171783,2022-12-08
Tata NEXON,Tata,Nexon,New Delhi,2021,Petrol,17141,1,,,Hi-Uttam Nagar Delhi,False,Delhi,Delhi,12188,0,1048000,https://www.cars24.com/buy-used-tata-nexon-2021-cars-new-delhi-10014670713,2022-12-09
Maruti Swift Dzire,Maruti,Swift Dzire,Pune,2014,Petrol,6489,1,Manual,Sedan,Hi-Andheri East,False,Mumbai West,Maharashtra,13898,-8700,453599,https://www.cars24.com/buy-used-maruti-swift-dzire-2014-cars-pune-10363879778,2022-12-05
Maruti Swift,Maruti,Swift,Ludhiana,2019,Petrol,11994,1,Manual,Hatchback,Hi-Mohali Store,False,Kharar,Punjab,9688,11800,517999,https://www.cars24.com/buy-used-maruti-swift-2019-cars-ludhiana-10942997744,2022-09-18
Maruti New  Wagon-R,Maruti,New  Wagon-R,New Delhi,2021,Petrol + Cng,31313,1,Manual,Hatchback,Hi-Yamuna Bank Delhi,False,Delhi,Delhi,12188,-400,671000,https://www.cars24.com/buy-used-maruti-new-wagon-r-2021-cars-new-delhi-10089590707,2022-12-08
Maruti Alto 800,Maruti,Alto 800,New Delhi,2015,Petrol,71784,1,Manual,Hatchback,Hi-Multan Nagar,False,Delhi,Delhi,12542,0,220999,https://www.cars24.com/buy-used-maruti-alto-800-2015-cars-new-delhi-10081378770,2022-12-08
Maruti Baleno,Maruti,Baleno,New Delhi,2017,Petrol,19206,1,Manual,Hatchback,Hi-Multan Nagar,False,Delhi,Delhi,13898,0,493699,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-new-delhi-10047876717,2022-12-07
Hyundai Creta,Hyundai,Creta,Rajkot,2019,Diesel,65144,1,Manual,SUV,Hi-West-Amd,False,Bhuj,Gujarat,9688,-40500,983300,https://www.cars24.com/buy-used-hyundai-creta-2019-cars-rajkot-11411874712,2022-11-14
Hyundai i20 Active,Hyundai,I20 Active,Ghaziabad,2015,Petrol + Cng,94575,2,Manual,Hatchback,Indirapuram - Shakti Khand,False,Faridabad,Haryana,13898,-2000,497000,https://www.cars24.com/buy-used-hyundai-i20-active-2015-cars-ghaziabad-11294591768,2022-11-08
Hyundai Elite i20,Hyundai,Elite I20,Mumbai,2015,Petrol,26510,2,Manual,Hatchback,Hi-Thane West - Manpada,False,Dombivali,Maharashtra,9688,0,461000,https://www.cars24.com/buy-used-hyundai-elite-i20-2015-cars-mumbai-10342776754,2022-12-09
Hyundai Santro Xing,Hyundai,Santro Xing,Ghaziabad,2012,Petrol,24698,1,Manual,Hatchback,Hi-Ghaziabad,False,New Delhi,Delhi,13898,0,197199,https://www.cars24.com/buy-used-hyundai-santro-xing-2012-cars-ghaziabad-11269293764,2022-12-08
Mahindra Scorpio,Mahindra,Scorpio,Panipat,2017,Diesel,52999,1,Manual,SUV,Bata Chowk,True,Faridabad,Haryana,19407,123400,951000,https://www.cars24.com/buy-used-mahindra-scorpio-2017-cars-panipat-1106323524,2021-02-11
Audi A3,Audi,A3,Faridabad,2014,Diesel,91887,2,Automatic,Luxury Sedan,Sector 73,True,Gurgaon,Haryana,19407,380500,966000,https://www.cars24.com/buy-used-audi-a3-2014-cars-faridabad-1050019044,2021-04-14
